Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
TD,15.006,15.467,91.86,40.0,76.0,7.14
SD,15.0,23.833,83.04,37.0,74.0,4.72
SD,15.624,23.769,83.04,37.0,74.0,4.72
SD,15.644,23.452,83.04,37.0,74.0,4.72
TD,11.525,21.181,76.38,89.0,57.0,3.71
TD,11.148,21.256,76.38,89.0,57.0,3.71
TD,11.838,21.068,76.38,89.0,57.0,3.71
TD,11.211,19.844,76.38,89.0,57.0,3.71
NE,18.672,14.512,101.58,15.0,0.0,9.19
NE,18.992,14.789,101.58,15.0,0.0,9.19
TD,13.39,17.466,89.88,44.0,1.0,7.92
TD,13.529,17.839,89.88,44.0,1.0,7.92
TD,13.767,17.89,89.88,44.0,1.0,7.92
TD,12.164,19.892,87.0,51.0,33.0,8.32
CM,8.278,14.748,76.02,87.0,2.0,2.91
CM,8.468,14.52,76.02,87.0,2.0,2.91
TD,10.015,19.542,74.22,88.0,96.0,2.28
TD,10.021,19.089,74.22,88.0,96.0,2.28
TD,12.556,15.678,93.2,52.0,40.0,6.93
TD,12.603,15.285,93.2,52.0,40.0,6.93
TD,10.266,19.001,74.22,88.0,96.0,2.28
SD,13.111,23.882,83.04,37.0,74.0,4.72
SD,13.676,23.859,83.04,37.0,74.0,4.72
CF,10.234,22.725,76.02,84.0,31.0,5.95
CF,10.542,22.64,76.02,84.0,31.0,5.95
TD,15.898,22.786,87.9,46.0,44.0,14.0
CF,10.199,22.349,76.02,84.0,31.0,5.95
TD,10.982,19.03,77.64,83.0,51.0,3.69
TD,13.965,15.28,91.86,40.0,76.0,7.14
TD,13.843,15.482,91.86,40.0,76.0,7.14
TD,13.796,15.233,91.86,40.0,76.0,7.14
TD,9.155,18.128,84.2,74.0,20.0,6.93
TD,9.559,17.246,75.48,90.0,51.0,2.48
TD,14.939,22.203,87.9,46.0,44.0,14.0
TD,10.441,16.305,77.1,84.0,100.0,4.45
TD,10.888,16.662,77.1,84.0,100.0,4.45
CF,7.728,21.783,69.72,94.0,100.0,4.05
TD,10.286,16.19,77.1,84.0,100.0,4.45
TD,10.095,16.694,77.1,84.0,100.0,4.45
TD,9.354,16.771,76.2,86.0,96.0,3.36
TD,11.168,16.449,77.1,84.0,100.0,4.45
TD,10.012,17.594,75.48,90.0,51.0,2.48
TD,8.046,17.36,74.22,91.0,75.0,3.8
TD,8.325,17.264,74.22,91.0,75.0,3.8
CM,11.354,14.493,77.64,77.0,97.0,3.18
CF,8.145,21.942,69.72,94.0,100.0,4.05
CF,8.743,21.886,69.72,94.0,100.0,4.05
CF,8.2,19.884,72.96,94.0,99.0,2.95
CF,8.471,19.821,72.96,94.0,99.0,2.95
CF,8.03,19.874,72.96,94.0,99.0,2.95
CF,8.855,19.953,72.96,94.0,99.0,2.95
TD,11.961,20.085,76.38,89.0,57.0,3.71
TD,11.672,20.044,76.38,89.0,57.0,3.71
TD,11.708,20.875,76.38,89.0,57.0,3.71
TD,11.377,20.955,76.38,89.0,57.0,3.71
CF,11.993,23.958,76.02,84.0,31.0,5.95
CF,11.165,23.331,76.02,84.0,31.0,5.95
CF,11.9,23.717,76.02,84.0,31.0,5.95
CF,11.638,23.071,76.02,84.0,31.0,5.95
CM,11.761,15.238,93.2,52.0,40.0,6.93
CM,11.613,15.101,93.2,52.0,40.0,6.93
CM,11.648,15.147,93.2,52.0,40.0,6.93
TD,16.466,15.366,91.86,40.0,76.0,7.14
TD,16.883,15.788,91.86,40.0,76.0,7.14
TD,16.115,15.611,91.86,40.0,76.0,7.14
TD,16.06,15.667,91.86,40.0,76.0,7.14
TD,16.681,15.157,91.86,40.0,76.0,7.14
TD,16.377,15.629,91.86,40.0,76.0,7.14
TD,16.022,15.103,91.86,40.0,76.0,7.14
TD,9.554,16.017,76.2,86.0,96.0,3.36
TD,15.234,19.465,87.9,46.0,44.0,14.0
TD,15.373,19.563,87.9,46.0,44.0,14.0
TD,15.748,16.777,84.84,60.0,46.0,7.99
CF,10.963,23.527,76.02,84.0,31.0,5.95
CF,10.397,23.72,76.02,84.0,31.0,5.95
TD,11.772,15.597,83.94,61.0,89.0,7.72
CF,10.624,23.876,76.02,84.0,31.0,5.95
TD,15.936,21.359,87.9,46.0,44.0,14.0
TD,15.738,21.27,87.9,46.0,44.0,14.0
TD,15.818,21.593,87.9,46.0,44.0,14.0
TD,15.333,21.902,87.9,46.0,44.0,14.0
TD,11.621,15.647,83.94,61.0,89.0,7.72
TD,10.649,18.025,77.64,83.0,51.0,3.69
TD,10.114,18.131,77.64,83.0,51.0,3.69
TD,10.79,18.077,77.64,83.0,51.0,3.69
TD,17.352,22.569,87.9,46.0,44.0,14.0
NE,20.885,15.802,101.58,15.0,0.0,9.19
NE,20.377,15.717,101.58,15.0,0.0,9.19
NE,20.132,15.15,101.58,15.0,0.0,9.19
TD,13.183,20.828,87.9,48.0,52.0,6.49
TD,13.815,20.289,87.9,48.0,52.0,6.49
TD,13.488,20.791,87.9,48.0,52.0,6.49
TD,13.559,20.292,87.9,48.0,52.0,6.49
TD,12.725,15.912,84.3,60.0,20.0,6.91
